ID,date,Name,Industry,Inception,Revenue,Expenses,Profit,Growth,
1,yes,Lamtone,IT Services,2009,"$11,757,018 ","6,482,465 Dollars",5274553,30%,
2,no,Stripfind,Financial Services,2010,"$12,329,371 ","916,455 Dollars",11412916,20%,
3,yes,Canecorporation,Health,2012,"$10,597,009 ","7,591,189 Dollars",3005820,20%,
4,yes,Mattouch,IT Services,2013,"$14,026,934 ","7,429,377 Dollars",6597557,20%,
5,no,Mattouch,IT Services,,"$14,026,934 ","7,435,363 Dollars",,20%,
6,yes,Mattouch,Health,,"$14,026,934 ","5,470,303 Dollars",,20%,
7,no,Cityace,Health,2010,"$14,026,934 ","6,249,498 Dollars",,20%,
8,yes,Kayelectronics,Health,2009,"$9,451,943 ","3,878,113 Dollars",,4%,
9,yes,Ganzlax,IT Services,2011,"$14,001,180 ",,11901180,18%,
10,yes,Trantraxlax,Government Services,2011,"$11,088,336 ","5,635,276 Dollars",5453060,7%,
